Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate,functionality,request_method,anti_csrf_bypass,impact,impact_severity,attack_vector,technical_details,comments
Cors Blimey: The power of chaining CORS,https://web.archive.org/web/20200616051351/https://hazana.xyz/posts/cors-blimey/,Hazana (@hazanasec),-,"CORS misconfiguration, Stored XSS, CSRF",-,2020-05-17,2022-09-15,account management,POST,referer validation bypass,account takeover,critical,api endpoint,standard csrf exploitation,"of other vulnerabilities, such as XSS and CSRF. To begin with, I noticed when visiting target.com/account, an extra request was being made to /details/account with a JSON response containing my email: GET /details/account HTTP/1.1 ... HTTP/1.1 200 OK Content-Type: application/json; charset=utf-8 Con"
Account taken over in style !!!,https://medium.com/@kishorehariram/account-taken-over-in-style-8a547342a5ad,kishore hariram (@kishorehariram),-,"Logic flaw, CSRF, Account takeover",-,2020-04-30,2022-09-15,account management,POST,no token,unauthorized actions,critical,link/image-based attack,standard csrf exploitation,to business.Thank you for spending your time on reading this post :)Bug BountyCsrfBusiness Logic----FollowWritten by kishore hariram127 followers·45 followingFollowNo responses yetHelpStatusAboutCareersPressBlogPrivacyRulesTermsText to speech
CSRF to RCE bug chain in Prestashop v1.7.6.4 and below,https://blog.stazot.com/prestashop-csrf-to-rce-article/,Sivanesh Ashok (@sivaneshashok),PrestaShop,"RCE, CSRF, Stored XSS, Unrestricted file upload",-,2020-04-18,2023-02-26,unknown,POST,no token,unauthorized actions,medium,web application,standard csrf exploitation,State-changing action vulnerable to CSRF
How a Simple CSRF Attack Turned into a P1 Level Bug,https://ladysecspeare.wordpress.com/2020/04/05/how-a-simple-csrf-attack-turned-into-a-p1-level-bug/,Lady Secspeare (@bejuveria_),-,"CSRF, Account takeover",-,2020-04-05,2022-09-15,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,I tried to following: I removed the entire field from the CSRF POC.I only removed the value from the field.I entered random values in the field. (ajhgdsjhgd) None of the above worked. I almost gave up thinking they have secured it against advanced CSRF attacks. I then decided to try something else: 
Always escalate! From Self-XSS to Persistent XSS on Login Portal,https://medium.com/@nnez/always-escalate-from-self-xss-to-persistent-xss-on-login-portal-54265b0adfd0,Phuriphat Boontanon (@zanezenzane),-,"Self-XSS, CSRF",650,2020-04-02,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Self XSS to Account Takeover,https://medium.com/@ch3ckm4te/self-xss-to-account-takeover-72c89775cf8f,Ch3ckM4te,-,"Account takeover, XSS, CSRF",-,2020-03-24,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Hacking — Always Check the Cross-domain Policy,https://medium.com/the-volatile-triad/hacking-always-check-the-cross-domain-policy-369940372de3,Jack,Starbucks,"SOP bypass, CSRF",750,2020-03-19,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
How I was able to bypass the current password?,https://ninadmathpati.com/how-i-was-able-to-bypass-the-current-password/,Ninad Mathpati (@ninad_mathpati),-,"Account takeover, CSRF",-,2020-03-11,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
How I exploit the JSON CSRF with method override technique,https://medium.com/@secureITmania/how-i-exploit-the-json-csrf-with-method-override-technique-71c0a9a7f3b0,Simgamsetti Manikanta (@zaheckmania),-,JSON CSRF,-,2020-03-07,2022-09-15,content management,POST,json-based csrf,unauthorized actions,medium,web application,standard csrf exploitation,State-changing action vulnerable to CSRF
How I CSRF’d My First Bounty!,https://medium.com/@rajeshranjan457/how-i-csrfd-my-first-bounty-a62b593d3f4d,Rajesh Ranjan (@rajesh_ranjan4),-,CSRF,500,2020-03-03,2022-09-15,account management,POST,no token,unauthorized actions,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Facebook CSRF bug which lead to Instagram Partial account takeover.,https://ysamm.com/?p=379,Youssef Sammouda (@samm0uda),Meta / Facebook,"CSRF, OAuth","12,500",2020-02-28,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Exploiting Jira for Host Discovery,https://medium.com/tenable-techblog/exploiting-jira-for-host-discovery-43be3cddf023,Alex Peña,Atlassian,CSRF,-,2020-02-20,2022-09-15,account management,POST,no token,account takeover,medium,form-based attack,(PoC)I created a PoC script that exploits this vulnerability to perform a host discovery scan from the Jira server. The script makes several requests to the Jira server via CSRFs for verifying mail servers across a range of IP addresses on an arbitrary port (the PoC uses port 110 but this can be cha,State-changing action vulnerable to CSRF
Exploiting WebSocket [Application Wide XSS / CSRF],https://medium.com/@osamaavvan/exploiting-websocket-application-wide-xss-csrf-66e9e2ac8dfa,Osama Avvan (@osamaavvan),-,"XSS, CSRF",-,2020-02-17,2022-09-15,account management,POST,referer validation bypass,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Site wide CSRF on a popular program,https://fellchase.blogspot.com/2020/02/site-wide-csrf-on-popular-program.html,Ajinkya Pathare (@fellchase),-,CSRF,-,2020-02-05,2022-09-15,account management,POST,no token,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Using CSRF I Got Weird Account Takeover,https://flex0geek.blogspot.com/2020/02/using-csrf-i-got-weird-account-takeover.html,Mohamed Sayed (@FlEx0Geek),-,"CSRF, Account takeover",-,2020-02-05,2022-09-15,account management,POST,no token,account takeover,critical,link/image-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF CSRF CSRF…,https://medium.com/@navne3t/csrf-csrf-csrf-f203e6452a9c,Navneet (@na5n33t),-,CSRF,50,2020-02-03,2022-09-15,content management,POST,no token,unauthorized actions,critical,api endpoint,standard csrf exploitation,but enough to get paid/swag.The aim of this article is to let beginners/readers know what functionality or action could be vulnerable to CSRF in a web application. Feed backs and comments are welcomed.1.) CSRF to spam shopping cart.The first functionality where i had found CSRF was adding all produc
Google Bug Bounty: CSRF in learndigital.withgoogle.com,https://santuysec.com/2020/01/21/google-bug-bounty-csrf-in-learndigital-withgoogle-com/,santuySec (@santuySec),Google,CSRF,-,2020-01-21,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Cross Site Request Forgery vulnerability Leads to User Profile Change in Microsoft Express Logic,https://web.archive.org/web/20200819163234/https://medium.com/@adeshkolte/cross-site-request-forgery-vulnerability-leads-to-user-profile-change-in-microsoft-express-logic-dc3481ab47ba,Adesh Nandkishor kolte (@AdeshKolte),Microsoft,CSRF,-,2020-01-21,2022-09-15,account management,POST,no token,unauthorized actions,medium,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Bypass SameSite Cookies Default to Lax and get CSRF,https://medium.com/@renwa/bypass-samesite-cookies-default-to-lax-and-get-csrf-343ba09b9f2b,Renwa (@RenwaX23),-,"CSRF, Samesite cookie bypass",-,2020-01-08,2022-09-15,content management,POST,samesite cookie bypass,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF Token Bypasss — A Tale of my $2k bug,https://web.archive.org/web/20200320111950/https://medium.com/@sainttobs/csrf-token-bypasss-a-tale-of-my-2k-bug-ff7f51166ea1,Adeyefa Oluwatoba (@adeyefa_codes),-,"CSRF, Account takeover","2,000",2019-12-23,2022-09-15,account management,POST,no token,account takeover,critical,link/image-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
2 FA Bypass via CSRF Attack,https://medium.com/@vbharad/2-fa-bypass-via-csrf-attack-8f2f6a6e3871,Vishal Bharad,Mail.ru,"2FA / MFA bypass, CSRF",-,2019-12-23,2022-09-15,account management,POST,no token,unauthorized actions,critical,link/image-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Stored Iframe Injection + CSRF = Account Takeover 😎😎,https://medium.com/@irounakdhadiwal999/stored-iframe-injection-csrf-account-takeover-42c93ad13f5d,Rounak Dhadiwal (@XploiteR_D),-,"HTML injection, CSRF",-,2019-12-16,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,"of these vulnerability ,😮😮 so i started other features of the website too.After some time i came across a section where i was able to change my email address .The first think that came into my mind was to try CSRF attack . And the request to change the email looked like.Which confirmed that Email ch"
Media deletion CSRF vulnerability on Instagram,https://blog.darabi.me/2019/12/instagram-delete-media-csrf.html,Pouya Darabi (@Pouyadarabi),Meta / Facebook,CSRF,"3,000",2019-12-09,2022-09-15,account management,GET,no token,account takeover,critical,api endpoint,standard csrf exploitation,User could be tricked into deleting content they had posted on Instagram.
How I turned Self XSS to Stored via CSRF,https://medium.com/@abhishake100/how-i-turned-self-xss-to-stored-via-csrf-d12eaaf59f2e,Abhishek Yadav (@abhishake100),-,"Self-XSS, CSRF",550,2019-11-29,2022-09-15,account management,POST,no token,unauthorized actions,medium,link/image-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
The AccountTakeOver Killing Chain,https://web.archive.org/web/20200511012319/https://medium.com/@xhzeem/the-accounttakeover-killing-chain-6ba23f4c9d4,أنس روبي (@xhzeem),-,"Account takeover, CSRF, Self-XSS",-,2019-11-23,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Cross Site Request Forgery Critical Exploitable IN Infected Site?,https://medium.com/@Hossam.Mesbah/cross-site-request-forgery-critical-exploitable-in-infected-site-a271aedeed2f,Hossam Mesbah,-,CSRF,-,2019-10-29,2022-09-15,account management,POST,json-based csrf,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
XSS to Account Takeover,https://noobe.io/articles/2019-10/xss-to-account-takeover,Tomi (@noobe_io),-,"XSS, CSRF",-,2019-10-29,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
An inconsistent CSRF,https://smaranchand.com.np/2019/10/an-inconsistent-csrf/,Smaran Chand (@smaranchand),-,CSRF,-,2019-10-15,2022-09-15,account management,POST,json-based csrf,account takeover,low,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
How I made 1000$ with AT&T Bug Bounty(H1),https://web.archive.org/web/20201128230506/https://medium.com/@adeshkolte/how-i-made-1000-at-t-bug-bounty-h1-14e68b284e2f,Adesh Nandkishor kolte (@AdeshKolte),AT&T,"CSRF, Account takeover","1,000",2019-10-02,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,"with burpRight click on request and select Engagement tools and click on ‘Generate PoC request’, Here copy HTML and save it as csrf.htmCSRF Pocchange the email id in the html if you want takeover with email. you can use password too for takeover. If you’re trying to exploit manually you can just use",State-changing action vulnerable to CSRF
A Simple bypass of Registration Activation that Lead to many Bug -,https://web.archive.org/web/20191214144210/https://medium.com/bugbountywriteup/a-simple-bypass-of-registration-activation-that-lead-to-many-bug-a-story-about-how-my-friend-5df0889f1062,YoKo Kho (@YokoAcc),-,"Information disclosure, IDOR, CSRF",-,2019-09-21,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,"with some of other issue such as escalating CSRF from low to medium severity (as a note, the Stored XSS write-up has been released at Tomi’s Medium).III. TECHNICAL EXPLANATIONAt this section, we will try to explain few step by step about this story.3.1. Simple Information Disclosure via Google DorkW","related our “journey” about this topic.2.2.1. At 2018 ago, the keyword that I used on Google while looking at the target information is: “github.com subdomain.targetname.com”. From the result, finally I found a pattern at the 1st page like:subdomain.targetname.com/Detail?trNum=${TRANSACTION_NUMBER}&"
Admin hijacked by Sea Surf Pirates,https://gauravnarwani.com/admin-hijacked-by-sea-surf-pirates/,Gaurav Narwani (@gauravnarwani97),Dolibarr,"Stored XSS, CSRF, Account takeover",-,2019-09-19,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,"is by escalating the issue where it is extremely harmful to the organization. In the below case scenario, there were various protection mechanisms for preventing CSRF, but a simple Cross-Site Scripting could takeover any user on the website. If you are new to Cross-Site Scripting, read this blog. Be"
CSRF Email Confirmation Vulnerability for Gmail & G-Suite in Facebook,https://medium.com/@lokeshdlk77/csrf-email-confirmation-vulnerability-for-gmail-g-suite-in-facebook-5ab551a0a526,Lokesh Kumar (@lokeshdlk77),Meta / Facebook,CSRF,"3,000",2019-07-16,2022-09-15,account management,POST,token validation bypass,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Bypass CSRF With ClickJacking Worth $1250,https://medium.com/@saadahmedx/bypass-csrf-with-clickjacking-worth-1250-6c70cc263f40,Saad Ahmed (@XSaadAhmedX),-,"CSRF, Clickjacking","1,250",2019-07-16,2022-09-15,account management,POST,json-based csrf,unauthorized actions,medium,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
[TOKOPEDIA] Site-wide CSRF through GraphQL request,https://yeraisci.com/tokopedia-site-wide-csrf-through-graphql-request,Rafie Muhammad (@rafiem777),Tokopedia,CSRF,-,2019-07-15,2022-09-15,account management,POST,json-based csrf,unauthorized actions,critical,api endpoint,"When visiting https://m.tokopedia.com, most of the request is using GraphQL endpoint in https://gql.tokopedia.com.Here is the example request to add product to wishlist :","Seeing that request in https://m.tokopedia.com mostly using GraphQL, there is several impact from this security issue :"
Account Takeover Using CSRF(json-based),https://medium.com/@shub66452/account-takeover-using-csrf-json-based-a0e6efd1bffc,shub rathore (@shub66452),-,"CSRF, Account takeover","1,000",2019-07-04,2022-09-15,account management,PUT,json-based csrf,account takeover,critical,api endpoint,"Cross-Origin Resource Sharing (CORS) misconfiguration and the presence of XSS. Fortunately, I had already discovered a stored XSS vulnerability within the program.Leveraging the XSS, I constructed a CSRF exploit file. This file, when sent to the admin as a link, could potentially trigger the identif","of this action could have resulted in unauthorized modification of the admin’s user data, including email, password, and username.Impact:-The identified CSRF vulnerability held significant implications. By exploiting this vulnerability, it was possible to gain the ability to modify various user data"
CORS To CSRF Attack,https://medium.com/@osamaavvan/cors-to-csrf-attack-c33a595d441,Osama Avvan (@osamaavvan),-,"CORS misconfiguration, CSRF",-,2019-06-27,2022-09-15,account management,PUT,referer validation bypass,unauthorized actions,medium,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Account Takeover Worth $900,https://medium.com/@saadahmedx/account-takeover-worth-900-cacbe10de58e,Saad Ahmed (@XSaadAhmedX),-,"Account takeover, CSRF",900,2019-06-16,2022-09-15,account management,POST,no token,account takeover,critical,web application,standard csrf exploitation,State-changing action vulnerable to CSRF
My First CSRF to Account Takeover worth $750,https://medium.com/@nishantrustlingup/my-first-csrf-to-account-takeover-worth-750-1332641d4304,Nishant Saurav (@inishantsinha),-,"CSRF, Account takeover",750,2019-05-30,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Stealing Downloads from Slack Users,https://medium.com/tenable-techblog/stealing-downloads-from-slack-users-be6829a55f63,David Wells,Slack,CSRF,-,2019-05-17,2022-09-15,content management,POST,no token,unauthorized actions,medium,api endpoint,standard csrf exploitation,"can get much more interesting. Furthermore, we could have easily manipulated the download item when we control the share it’s uploaded to, meaning the Slack user that opens/executes the downloaded file will actually instead be interacting with our modified document/script/etc off the remote SMB shar"
4x CSRFs Chained For Company Account Takeover,https://medium.com/a-bugz-life/4x-csrfs-chained-for-company-account-takeover-f9fada416986,A Bug’z Life (@abugzlife1),-,"CSRF, Account takeover","3,000",2019-05-08,2022-09-15,account management,POST,json-based csrf,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF Attack can lead to Stored XSS,https://medium.com/bugbountywriteup/csrf-attack-can-lead-to-stored-xss-f40ba91f1e4f,Mohamed Sayed (@FlEx0Geek),-,"CSRF, Stored XSS",-,2019-04-25,2022-09-15,content management,POST,samesite cookie bypass,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Yet Other Examples of Abusing CSRF in Logout,https://soroush.secproject.com/blog/2019/04/yet-other-examples-of-abusing-csrf-in-logout/,Soroush Dalili (@irsdl),-,CSRF,-,2019-04-23,2022-09-15,content management,POST,samesite cookie bypass,unauthorized actions,critical,form-based attack,"in Firefox with Target=”_blank”August 1, 2023 Thirteen Years On: Advancing the Understanding of IIS Short File Name (SFN) Disclosure!July 31, 2023 My MDSec Blog Posts so far in 2020/2021!October 31, 2020 File Upload Attack using XAMLX FilesSeptember 21, 2019 Uploading web.config for Fun and Profit 2",State-changing action vulnerable to CSRF
Account Takeover by chaining two vulnerabilities.,https://web.archive.org/web/20191218195406/https://medium.com/@sherazkhalid_60362/account-takeover-by-chaining-two-vulnerabilities-bb447753b089,Sheraz Khalid,-,"CSRF, Open redirect, Account takeover",-,2019-04-10,2022-09-15,account management,POST,no token,account takeover,critical,link/image-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Obtaining XSS Using Moodle Features and Minor Bugs,https://medium.com/@daniel.thatcher/obtaining-xss-using-moodle-features-and-minor-bugs-2035665989cc,Daniel Thatcher (@_danielthatcher),Moodle,"Login CSRF, XSS",-,2019-04-09,2022-09-15,account management,POST,samesite cookie bypass,account takeover,critical,form-based attack,"of self-XSS only allows the attacker to obtain read-only access to the DOM, this technique allows JavaScript to be run as the victim user, as with any regular XSS.The following video shows how an administrator can be targeted to give an attacker shell access to the Moodle server. In this video, an a","here as it will show up on the dashboard of the attacker account rather than the admin account. Since we can still make requests to the admin panel as the admin account, I decided to upload a malicious plugin using JavaScript. This plugin gives the attacker a reverse shell using the version.php file"
Same-Origin Policy: From birth until today,https://research.aurainfosec.io/same-origin-policy/,Alex Nikolova (@AaylaSecura1138),"Mozilla, Google (Chrome), Opera","SOP bypass, Browser hacking, CSRF, CORS",-,2019-04-04,2022-10-06,unknown,POST,no token,unauthorized actions,medium,web application,standard csrf exploitation,State-changing action vulnerable to CSRF
How I could have hijacked a victim’s YouTube notifications! (Google VRP Writeup),https://hackademic.co.in/youtube-bug/,Yash Sodha (@y_sodha),Google,CSRF,"3,133.70",2019-03-26,2022-09-15,account management,POST,json-based csrf,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
WordPress 5.1 CSRF to Remote Code Execution,https://www.sonarsource.com/blog/wordpress-csrf-to-rce/,Simon Scannell (@scannell_simon),WordPress,"CSRF, RCE, HTML injection",950,2019-03-13,2022-09-15,content management,POST,samesite cookie bypass,account takeover,critical,form-based attack,of SonarQube ServerSonarQube Cloud DocumentationFind more technical details of SonarQube CloudSonarQube for IDE DocumentationFind more technical details of SonarQube for IDEExplore Sonar's RulesExplore publicly available static analysis rules for all our languagesLanguagesSee our multi-language cove,"An attacker can take over any WordPress site that has comments enabled by tricking an administrator of a target blog to visit a website set up by the attacker. As soon as the victim administrator visits the malicious website, a cross-site request forgery (CSRF) exploit is run against the target Word"
Brute Forcing User IDS via CSRF To Delete all Users with CSRF attack.,https://medium.com/@armaanpathan/brute-forcing-user-ids-via-csrf-to-delete-all-users-with-csrf-attack-216ccd4d832c,Armaan Pathan (@armaancrockroax),-,"CSRF, Bruteforce",-,2019-03-12,2022-09-15,content management,POST,no token,information disclosure,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Facebook CSRF protection bypass which leads to Account Takeover,https://ysamm.com/?p=185,Youssef Sammouda (@samm0uda),Meta / Facebook,CSRF,"25,000",2019-02-12,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Csrf Bypass Using Cross Frame Scripting,https://medium.com/@mr_hacker/csrf-bypass-using-cross-frame-scripting-c349d6f33eb6,Mr.Hacker (@mr_hacker0007),-,CSRF,-,2019-02-10,2022-09-15,content management,POST,no token,unauthorized actions,high,form-based attack,standard csrf exploitation,"issues. Mostly people avoid submitting cross frame scripting or other low impact vulnerabilities as they are out of scope but if we can use it in a unique way then low hanging fruits can also give us a great impact with few other vulnerabilities.You can see the video Poc Here.That’s it, i hope you e"
Oauth Misconfiguration lead to complete account takeover,https://medium.com/@Jacksonkv22/oauth-misconfiguration-lead-to-complete-account-takeover-c8e4e89a96a,Jackson kv (@Jacksonkv22),-,"CSRF, OAuth, Account takeover",-,2019-01-20,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
How I could have taken over any Pinterest account,http://infosecflash.com/2019/01/05/how-i-could-have-taken-over-any-pinterest-account/,Arnold Anthony (@armold9anthony),Pinterest,"CSRF, Account takeover","2,400",2019-01-05,2022-09-15,account management,POST,json-based csrf,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Remote Code Execution on a Facebook server,https://blog.scrt.ch/2018/08/24/remote-code-execution-on-a-facebook-server/,Daniel Le Gall (@Blaklis_),phpMyAdmin,"LFI, RCE, CSRF",-,2018-12-14,2022-09-15,account management,POST,no token,information disclosure,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
How i Found Information Disclosure on Scribd.com,https://medium.com/@androgaming1912/how-i-found-password-bypass-vulnerability-on-private-document-at-scribd-com-c0905e8dcc9a,Zerb0a,Scribd.com,CSRF,-,2018-11-22,2022-09-15,account management,POST,no token,information disclosure,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Patched Facebook Vulnerability Could Have Exposed Private Information About You and Your Friends,https://www.imperva.com/blog/facebook-privacy-bug,Ron Masas (@RonMasas),Meta / Facebook,"CSRF, Information disclosure",-,2018-11-13,2022-09-15,account management,GET,no token,account takeover,critical,api endpoint,here:,of API and Bot Attacks What is the true cost of API and bot-related attacks to your organization? Download Now
Chain exploitation of XSS,https://mike-n1.github.io/Chain_XSS,Mikhail Klyuchnikov (@__Mn1__),-,"DOM XSS, Clickjacking, CSRF",-,2018-11-12,2022-09-15,content management,POST,json-based csrf,account takeover,critical,form-based attack,of XSS · Script Kiddie`s notes,"vulnerabilities, which led me to exploitation of full XSS. Also, at the end of the article I will show you an HTML-page that was the final exploit. In order to execute the reflected XSS, I’ve used together vulnerabilities such as ClickJacking, CSRF and self-DOM-based XSS."
CSRF 'protection' bypass on xvideos,https://web.archive.org/web/20181030103042/https://zseano.com/blogs/4.html,Zseano (@zseano),xvideos,CSRF,-,2018-10-30,2022-09-15,content management,POST,no token,unauthorized actions,low,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
"Improper CSRF token handling leads to site-wide CSRF issue, chained with clickjacking = woot! Multiple sites vulnerable",https://zseano.medium.com/site-wide-csrf-issue-chained-with-clickjacking-multiple-sites-vulnerable-6201abab0d3e,Zseano (@zseano),-,"CSRF, Clickjacking",-,2018-10-29,2022-09-15,account management,POST,referer validation bypass,account takeover,medium,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
A very useful technique to bypass the CSRF protection for fun and profit.,https://medium.com/@Skylinearafat/a-very-useful-technique-to-bypass-the-csrf-protection-for-fun-and-profit-471af64da276,Yeasir Arafat,-,CSRF,-,2018-10-26,2022-09-15,account management,POST,json-based csrf,account takeover,medium,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF account takeover Explained Automated/Manual — Bug Bounty,https://web.archive.org/web/20191217012635/https://medium.com/bugbountywriteup/csrf-account-takeover-explained-automated-manual-bug-bounty-447e4b96485b,Vulnerables,OpenMenu,"CSRF, Account takeover",250,2018-10-26,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,"you can go through video.So right click on the intercepted request and select Engagement tools and click on ‘Generate PoC request’, Here copy HTML and save it as open.htmlExploitchange the email id in the html if you want takeover with email.In new tab in chrome open open.html and click on submit re",State-changing action vulnerable to CSRF
Microsoft CSRF Vulnerability,https://web.archive.org/web/20200825165404/https://medium.com/@adeshkolte/how-i-got-500-from-microsoft-for-csrf-vulnerability-700accaf48b9,Adesh Nandkishor kolte (@AdeshKolte),Microsoft,CSRF,500,2018-10-12,2022-09-15,social actions,POST,no token,unauthorized actions,high,api endpoint,"-   <html> <body> <form action=”https://trustportal.office.com/onboarding/AddUserRole/1110""> <input type=”hidden” name=”role” value=”User” /> <input type=”submit” value=”Submit request” /> </form> </body> </html>  So I was able to add any user in their Cloud Service Trust Portal by using CSRF Attack",State-changing action vulnerable to CSRF
[Critical] Bypass CSRF protection on IBM,https://medium.com/bugbountywriteup/critical-bypass-csrf-protection-on-ibm-313ffb68dd0c,Mohamed Sayed (@FlEx0Geek),IBM,CSRF,-,2018-10-09,2022-09-15,account management,GET,no token,unauthorized actions,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
An interesting Google vulnerability that got me 3133.7 reward.,https://www.sec-down.com/wordpress/?p=809,Ebrahem Hegazy (@Zigoo0),Google,CSRF,"3,133.7",2018-10-04,2022-09-15,account management,POST,no token,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Collecting Shells by the Sea of NAS Vulnerabilities,https://blog.securityevaluators.com/collecting-shells-by-the-sea-of-nas-vulnerabilities-155a0bd7c525,Rick Ramgattie (@RRamgattie),Lenovo,"OS command injection, XSS, CSRF",-,2018-10-01,2022-09-15,account management,POST,json-based csrf,account takeover,medium,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
R-XSS -> CSRF bypass to account takeover/,https://nirmaldahal.com.np/posts/2019/11/r-xss-leading-csrf-bypass-to-account-takeover/,Nirmal Dahal (@TheNittam),-,"Reflected XSS, CSRF",-,2018-09-21,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
How I hijacked your account when you opened my cat picture,https://medium.com/intigriti/how-i-hijacked-your-account-when-you-opened-my-cat-picture-9a0a0acca9e8,Matti Bijnens (@MattiBijnens),-,Logout CSRF,-,2018-09-14,2022-09-15,account management,POST,no token,account takeover,medium,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Send request to Martians. Earthlings are already your friends.,https://blog.sagarvd.me/2018/09/youtube-csrf.html,Sagar VD,Google,CSRF,-,2018-09-01,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,changes from user interaction needed to no user interaction needed.
How I was able to delete 13k+ Microsoft Translator projects,https://haiderm.com/how-i-was-able-to-delete-13k-microsoft-translator-projects/,Haider Mahmood (@haiderinfosec),Microsoft,"CSRF, IDOR",-,2018-07-19,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Fastest Fix on Open Bug Bounty Platform,https://kongwenbin.com/fastest-fix-on-open-bug-bounty-platform,Wen Bin KONG (@kongwenbin),Kevag Telekom GmbH,"Reflected XSS, CSRF",-,2018-06-24,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,(POC) to demonstrate the vulnerability Getting the organisation to fix the vulnerability and deploy it to the production environment Conducting a regression test to verify that the vulnerability has been fixed Triggering Open Bug Bounty platform to verify the fix and update its tracking status,State-changing action vulnerable to CSRF
[PayPal BBP] I could’ve deleted All SMC messages. Using Brute-Force technique.,https://blog.ayoubaitelmokhtar.com/2018/06/paypal-bbp-i-couldve-deleted-all-smc.html,Ayoub Ait Elmokhtar (@aessadek),Paypal,CSRF,-,2018-06-10,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Self-XSS + CSRF to Stored XSS,https://medium.com/@renwa/self-xss-csrf-to-stored-xss-54f9f423a7f1,Renwa (@RenwaX23),-,"Self-XSS, CSRF, Stored XSS",-,2018-05-20,2022-09-15,account management,POST,no token,unauthorized actions,medium,form-based attack,standard csrf exploitation,"with it.i started burpsuite and changed my name the request looks like:hmm that looks interesting, i generated burpsuite CSRF pocreplayed in browser response was:Awesome! now we have CSRF + Self-XSS let’s chain that together the form now looks like:Final POCas you can see in the last name field i ha"
